Country,Death Rate
Gabon,2.17e-05
Cambodia,1.93e-05
United Republic of Tanzania,1.59e-05
Zambia,1.54e-05
Myanmar,1.17e-05
Bangladesh,6.87e-06
India,6.72e-06
Bhutan,5.65e-06
Togo,4.13e-06
Chad,3.52e-06
Nepal,3.16e-06
Sri Lanka,2.97e-06
Philippines,2.62e-06
Zimbabwe,1.58e-06
Georgia,1.42e-06
Tajikistan,1.27e-06
C�te d'Ivoire,1.01e-06
Viet Nam,9.88e-07
Egypt,9.47e-07
Mali,9.01e-07
Central African Republic,8.88e-07
Uganda,8.28e-07
Iraq,7.94e-07
Senegal,7.39e-07
Morocco,7.26e-07
Algeria,6.49e-07
Malawi,6.37e-07
Democratic Republic of the Congo,5.16e-07
Sudan,4.21e-07
Lao People's Democratic Republic,4.14e-07
Indonesia,3.80e-07
Mongolia,3.71e-07
Ethiopia,3.37e-07
Lebanon,3.29e-07
Thailand,3.23e-07
Bolivia,2.99e-07
Dominican Republic,2.93e-07
Tunisia,2.89e-07
Burkina Faso,2.46e-07
Syrian Arab Republic,2.22e-07
Uzbekistan,2.16e-07
Mozambique,2.14e-07
South Africa,2.02e-07
Cameroon,2.00e-07
Madagascar,1.99e-07
Niger,1.89e-07
Honduras,1.31e-07
Netherlands,1.20e-07
Ukraine,1.17e-07
Guatemala,1.04e-07
Republic of Korea,1.03e-07
Ecuador,7.26e-08
Colombia,6.48e-08
China,6.14e-08
Australia,4.65e-08
Russian Federation,4.51e-08
Iran (Islamic Republic of),3.81e-08
Mexico,3.62e-08
Venezuela (Bolivarian Republic of),3.44e-08
Kenya,2.45e-08
Turkey,2.20e-08
Brazil,1.02e-08
United States of America,9.44e-09
Albania,0.00e+00
Argentina,0.00e+00
Austria,0.00e+00
Belarus,0.00e+00
Belgium,0.00e+00
Benin,0.00e+00
Bosnia and Herzegovina,0.00e+00
Bulgaria,0.00e+00
Canada,0.00e+00
Chile,0.00e+00
Costa Rica,0.00e+00
Croatia,0.00e+00
Cuba,0.00e+00
Cyprus,0.00e+00
Czech Republic,0.00e+00
Denmark,0.00e+00
El Salvador,0.00e+00
Estonia ,0.00e+00
Finland ,0.00e+00
France ,0.00e+00
Germany ,0.00e+00
Ghana,0.00e+00
Greece ,0.00e+00
Guyana,0.00e+00
Hungary ,0.00e+00
Iceland ,0.00e+00
Ireland ,0.00e+00
Israel,0.00e+00
Italy ,0.00e+00
Jordan,0.00e+00
Latvia ,0.00e+00
Lithuania ,0.00e+00
Luxembourg ,0.00e+00
Malta ,0.00e+00
Moldova ,0.00e+00
Nicaragua,0.00e+00
Norway ,0.00e+00
Pakistan,0.00e+00
Panama,0.00e+00
Paraguay,0.00e+00
Peru,0.00e+00
Poland ,0.00e+00
Portugal ,0.00e+00
Romania ,0.00e+00
Rwanda,0.00e+00
Serbia and Montenegro,0.00e+00
Slovakia,0.00e+00
Slovenia,0.00e+00
Spain,0.00e+00
Sweden,0.00e+00
Switzerland,0.00e+00
The former Yugoslav Republic of Macedonia,0.00e+00
United Kingdom,0.00e+00
Uruguay,0.00e+00
