Case No,Division,Water District,Waterbody Name,Waterbody Type,Appropriation Type,Appropriation Date,Prior Adjudication Date,WDID,Upper Terminus,UT UTM East,UT UTM North,Lower Terminus,LT UTM East,LT UTM North,Lake UTM North,Lake UTM East,Location,Length,Flow Amounts,Volume in AF,County,Watershed
W-3637-76,3,22,GREEN LAKE,Lake,New Appropriation,05/12/1976,,2203587,na,,,na,,,4116420.09,359206.19,"(37.183611, -106.585556)",,,304,Conejos,Conejos
80CW0539,5,38,MEXICAN CUT POND #11,Lake,New Appropriation,03/17/1980,,3803770,na,,,na,,,4321979.43,321247.90,"(39.028611, -107.064444)",,,8.54,Gunnison,Roaring Fork
W-3004-76,5,37,MISSOURI LAKE #2,Lake,New Appropriation,01/14/1976,,3703566,na,,,na,,,4361334.26,369582.02,"(39.391667, -106.513889)",,,32,Eagle,Eagle
11CW0152,5,51,Hurd Creek,Stream,Acquisition,,,,Confluence of Trail Creek,,,Confluence of Ranch Creek,,,,,,1.22,"4.7 (4/1 - 9/30), 1.5 (10/1 - 3/31)",,Grand,Colorado Headwaters
W-4353-75,2,11,"THREE LAKES, LOWER",Lake,New Appropriation,09/10/1975,,1103995,na,,,na,,,4342942.16,372655.13,"(39.225, -106.475)",,,63,Lake,Arkansas Headwaters
16CW3160,1,6,South Boulder Creek,Stream,Acquisition,,,,Gross Reservoir Outlet,,,USGS Gage 06729500,0.00,0.00,,,,,"15 (05/01 - 09/30), 8 (10/01 - 04/30)",,"Boulder, Gilpin",St. Vrain
98CW0151,2,11,Tennessee Creek,Stream,New Appropriation,12/09/1998,,1103077,confl Longs Gulch at,384474.79,4352801.14,north Section Line,383563.40,4351246.90,,,"(39.302783, -106.350408)",1.2,"17 (5/15 - 7/31), 5.5 (8/1 - 10/14), 3 (10/15 - 5/14)",,Lake,Arkansas Headwaters
07CW0201,4,28,Pauline Creek,Stream,New Appropriation,01/24/2007,,2801024,confl Chavez Creek at,342222.66,4219441.40,hdgt Tarbell & Alexander Ditch at,345710.77,4224227.44,,,"(38.152778, -106.760833)",4.1,"2 (4/1 - 4/30), 2.75 (5/1 - 6/30), 2 (7/1 - 8/31), 1 (9/1 - 9/30)",,Saguache,Tomichi
76W0959,6,58,Burgess Creek,Stream,Acquisition,12/31/1902,,5801474,Forest Service boundary in,348503.32,4481132.06,confl Yampa River in,346295.82,4479422.86,,,"(40.451264, -106.812603)",2,0.0293 (1/1 - 12/31),,Routt,Upper Yampa
W-1512-76,7,31,"FLINT LAKE, BIG",Lake,New Appropriation,05/12/1976,,3103905,na,,,na,,,4167033.80,283734.86,"(37.625, -107.45)",,,855,Hinsdale,Upper San Juan
