Country ,Location ,Virus name ,Species ,Year ,Phylogenetic clade/subclade ,GenBank accession no. 
Afghanistan ,,04027AFG ,Dog ,1996 ,Arctic-related/AL1 ,EU086162 
Afghanistan ,,02052AFG ,Dog ,2002 ,Arctic-related/AL1 ,KX148225 
Afghanistan ,,04029AFG ,Dog ,2004 ,Arctic-related/AL1 ,KX148227 
Afghanistan ,,09032AFG ,Dog ,2009 ,Arctic-related/AL1 ,JX987739 
Afghanistan ,,BDR6 ,Cattle ,2010 ,Arctic-related/AL1 ,AB699218 
Afghanistan ,,ACS11 ,Human ,2011 ,Arctic-related/AL1 ,KF992019 
Bhutan ,,Btn115 ,Cattle ,2010 ,Arctic-related/AL1 ,AB910532 
Brazil ,,95022BRE ,Dog ,1995 ,Cosmopolitan/other ,KX148215 
Cambodia ,,9914CBG ,Dog ,1997 ,Asian/SEA3 ,EU086170 
Cambodia ,,9911CBG ,Dog ,1998 ,Asian/SEA3 ,EU086168 
Cambodia ,,I0515204 ,Dog ,1998 ,Asian/SEA3 ,KM366251 
Cambodia ,,9908CBG ,Dog ,1999 ,Asian/SEA3 ,EU086167 
Cambodia ,,M0516129 ,Dog ,2002 ,Asian/SEA3 ,KM366209 
Cambodia ,,N1011101 ,Dog ,2003 ,Asian/SEA3 ,KM366270 
Cambodia ,,O0405536 ,Dog ,2004 ,Asian/SEA3 ,KM366206 
Cambodia ,,S1030654 ,Dog ,2008 ,Asian/SEA3 ,KM366202 
Cambodia ,,T1002618 ,Dog ,2009 ,Asian/SEA3 ,KM366262 
Cambodia ,,U0821622 ,Dog ,2010 ,Asian/SEA3 ,KM366267 
Cambodia ,,V0808656 ,Dog ,2011 ,Asian/SEA3 ,KM366221 
China* ,Chongqing ,CQWSD01 ,Dog ,2005 ,Asian/SEA1 ,KT221095 
China* ,Chongqing ,CQWXD01 ,Dog ,2005 ,Asian/SEA1 ,KT221093 
China* ,Chongqing ,CQQJD6 ,Dog ,2006 ,Asian/SEA1 ,KT221097
China* ,Chongqing ,CQWLD02 ,Dog ,2006 ,Asian/SEA1 ,KT221094 
China* ,Chongqing ,CQFJD02 ,Dog ,2007 ,Asian/SEA1 ,KT894569 
China* ,Chongqing ,CQBSD01 ,Dog ,2008 ,Asian/SEA1 ,KT894564 
China* ,Chongqing ,CQYBD01 ,Dog ,2008 ,Asian/SEA1 ,KT221098 
China* ,Chongqing ,CQWLD03 ,Dog ,2009 ,Asian/SEA1 ,KT894559 
China* ,Chongqing ,CQD023 ,Dog ,2010 ,Asian/SEA1 ,KT894560 
China* ,Chongqing ,CQCSD01 ,Dog ,2011 ,Asian/SEA1 ,KT894563 
China* ,Chongqing ,CQJLPD01 ,Dog ,2011 ,Asian/SEA1 ,KT894567 
China* ,Chongqing ,CQQJD11 ,Dog ,2011 ,Asian/SEA1 ,KT894562 
China* ,Chongqing ,CQWSD11 ,Dog ,2011 ,Asian/SEA1 ,KT894561 
China* ,Chongqing ,ZDW046 ,Dog ,2011 ,Asian/SEA1 ,KT894571 
China* ,Chongqing ,CQJLPD13 ,Dog ,2013 ,Asian/SEA1 ,KT894568 
China* ,Chongqing ,CQCSD17 ,Dog ,2017 ,Asian/SEA1 ,MG383887 
China* ,Chongqing ,CQJJD17 ,Dog ,2017 ,Asian/SEA1 ,MG383888 
China* ,Chongqing ,CQYCD17 ,Dog ,2017 ,Asian/SEA1 ,MK124736 
China* ,Chongqing ,CQYCD18 ,Dog ,2018 ,Asian/SEA1 ,MN784133 
China* ,Gansu ,GSHSD14 ,Dog ,2014 ,Asian/SEA1 ,KT221103 
China* ,Guangxi ,GXBSD01 ,Dog ,2009 ,Asian/SEA1 ,KT894576 
China* ,Guangxi ,GXQZD01 ,Dog ,2009 ,Asian/SEA2 ,KT221107 
China* ,Guangxi ,GXRXD01 ,Dog ,2010 ,Asian/SEA1 ,KT894575 
China* ,Guangxi ,GXWXD01 ,Dog ,2013 ,Asian/SEA2 ,KT894577 
China* ,Guangxi ,GXWXD02 ,Dog ,2013 ,Asian/SEA2 ,KT894578 
China* ,Heilongjiang ,HLJC16 ,Cattle ,2016 ,Asian/SEA1 ,MG383884 
China* ,Hunan ,HN05 ,Dog ,2005 ,Asian/SEA2 ,KT894558 
China* ,Hunan ,HuND02 ,Dog ,2005 ,Asian/SEA1 ,KT221100 
China* ,Hunan ,HuND28 ,Dog ,2005 ,Asian/SEA1 ,KT221101 
China* ,Hunan ,HN06 ,Dog ,2006 ,Asian/SEA1 ,KT894557 
China* ,Hunan ,HNP02 ,Pig ,2006 ,Asian/SEA2 ,KT221102 
China* ,Hunan ,HuNPN01 ,Pig ,2006 ,Asian/SEA2 ,DQ496219 
China* ,Hunan ,HNYZD01 ,Dog ,2010 ,Asian/SEA2 ,KT894572 
China* ,Hunan ,HNNYD03 ,Dog ,2011 ,Asian/SEA2 ,KT894573 
